Feature,IV
MntMeatProducts,0.5875613582687006
time_bucket,0.48924524088060645
MntWines,0.48308960430329995
Dt_Customer,0.4738915070924164
MntGoldProds,0.44817271588496
Income,0.35997543917762803
NumCatalogPurchases,0.35783424333501523
Recency,0.35025262968550264
NumWebPurchases,0.34720252140976715
NumStorePurchases,0.2329734779792789
MntSweetProducts,0.23289231773514482
MntFruits,0.2176482538516713
Marital_Status,0.17726105505172216
MntFishProducts,0.15414448368471975
NumWebVisitsMonth,0.1296137777104045
Education,0.09029396845005988
NumDealsPurchases,0.07556201106087489
Year_Birth,0.05652826946092858
ID,0.03796282630337035
Kidhome,0.025625678098145907
Teenhome,0.004931144494976738
AcceptedCmp3,0.0
AcceptedCmp5,0.0
AcceptedCmp4,0.0
AcceptedCmp1,0.0
AcceptedCmp2,0.0
Complain,0.0
Response,0.0
